Sample	X_reads	Y_reads	Species	Read_ratio	Sex	Y_cov	X_cov	Cov_ratio	Group	Nr
LE_Joe_38	41943	4163	LE	0.09925374913573183	F	0.018606865580302234	0.046540179344189476	0.39980218904389103	LE_Joe	38
LE_Joe_39	37422	732	LE	0.019560686227352894	F	0.003271733270425471	0.041523653325185574	0.07879203799346451	LE_Joe	39
LE_Joe_4	28010	662	LE	0.023634416279900036	F	0.002958862602488609	0.03108004728871915	0.09520135458618048	LE_Joe	4
LE_Joe_40	54420	1023	LE	0.018798235942668138	F	0.004572381332848712	0.060384725935455054	0.07572082611977254	LE_Joe	40
LE_Joe_486	24659	437	LE	0.017721724319720994	F	0.001953206884120124	0.027361759589165494	0.07138454958479866	LE_Joe	486
LE_Joe_566	8031	4987	LE	0.6209687461088282	M	0.022289800300016153	0.00891124097735464	2.501312707922418	LE_Joe	566
LE_Joe_569	19099	10406	LE	0.5448452798575841	M	0.0465104595792998	0.021192353558273723	2.1946811830695236	LE_Joe	569
LE_Joe_583	45575	764	LE	0.016763576522216127	F	0.0034147598614823224	0.05057026616149144	0.0675250521833839	LE_Joe	583
LE_Joe_584	19179	10717	LE_F1	0.5587882579905105	M	0.04790049926113357	0.021281121990372884	2.250844635109122	LE_Joe	584
LE_Joe_87	39033	904	LE	0.02315989034919171	F	0.004040501197356047	0.04331122762658245	0.09328992547133833	LE_Joe	87
LE_Kor_182	30851	652	LE	0.021133836828627923	F	0.002914166792783343	0.034232436233640647	0.08512881680093673	LE_Kor	182
LE_Kor_190	38623	685	LE	0.017735546177148332	F	0.003061662964810721	0.04285628941207425	0.07144022515276682	LE_Kor	190
LE_Kor_192	23691	12486	LE	0.5270355831328353	M	0.055807187997995125	0.026287661560765632	2.1229422734689884	LE_Kor	192
LE_Kor_193	18159	13664	LE	0.7524643427501514	M	0.06107235438127546	0.02014932448110857	3.030987685891661	LE_Kor	193
LE_Kor_194	17953	9156	LE	0.5099983289700886	M	0.040923483366141544	0.019920745768453225	2.054314825449384	LE_Kor	194
LE_Kor_319	20187	11876	LE	0.5882994006043494	M	0.053080743605973896	0.02239960423482233	2.36971792222359	LE_Kor	319
LE_Kor_335	19837	11916	LE	0.6006956697081212	M	0.053259526844794965	0.022011242344388494	2.4196511042627655	LE_Kor	335
LE_Kor_484	17113	6093	LE	0.35604511190323146	M	0.027233156853418573	0.018988677231412024	1.4341787224845823	LE_Kor	484
LE_Kor_499	17604	9728	LE	0.5526016814360373	M	0.04348008368128276	0.019533493483420632	2.2259246006448965	LE_Kor	499
LE_Kor_500	18327	10729	LE	0.5854204179625689	M	0.04795413423277989	0.02033573818851681	2.35812114555343	LE_Kor	500
LE_Kor_502	19555	9759	LE	0.49905395039631806	M	0.04361864069136909	0.02169833362123895	2.010229976769917	LE_Kor	502
LE_Kor_504	26604	575	LE	0.021613291234400842	F	0.002570009058052795	0.02951994209457637	0.08706009821492762	LE_Kor	504
LE_Kor_506	14193	9210	LE	0.6489114352145424	M	0.041164840738549986	0.015748629459792603	2.6138681365033585	LE_Kor	506
LE_Kor_510	25497	590	LE	0.023139977252225753	F	0.0026370527726106937	0.028291608915404217	0.09320971389417415	LE_Kor	510
LE_Kor_511	19909	9712	LE	0.48781957908483603	M	0.04340857038575434	0.022091133933277742	1.9649770137133766	LE_Kor	511
LE_Kor_513	11205	5958	LE	0.5317269076305221	M	0.026629763422397482	0.012433128520888898	2.141839310810374	LE_Kor	513
LE_Kor_520	14117	7665	LE	0.5429623857760147	M	0.03425933813908639	0.0156642994492984	2.187096732284498	LE_Kor	520
LE_Kor_521	19675	400	LE	0.020330368487928845	F	0.00178783238821064	0.02183148626938769	0.08189238085533164	LE_Kor	521
LE_Kor_73	34343	680	LE	0.01980025041493172	F	0.003039315059958088	0.03810717829476907	0.07975702206151777	LE_Kor	73
LE_Kor_86	14858	291	LE	0.019585408534123033	F	0.0013006480624232406	0.01648651705161689	0.0788916214595903	LE_Kor	86
LE_Mjo_13	11373	6554	LE	0.5762771476303525	M	0.029293633680831335	0.012619542228297139	2.3212913076312254	LE_Mjo	13
